Table S1 The original training dataset used in this work.,,,,,,,,,
Alloy No.,"Elemental content, at%",,,,,,,"Hardness, HV",Ref.
,Al,Co,Cr,Cu,Fe,Ni,Mn,,
74,23.1,15.4,15.4,15.4,15.4,15.4,0,510,10.1038/s41467-021-24523-9
75,31.5,13.7,13.7,13.7,13.7,13.7,0,603,10.1038/s41467-021-24523-9
76,33.3,13.3,13.3,13.3,13.3,13.3,0,625,10.1038/s41467-021-24523-9
77,35.9,12.8,12.8,12.8,12.8,12.8,0,655,10.1038/s41467-021-24523-9
78,37.5,12.5,12.5,12.5,12.5,12.5,0,735,10.1038/s41467-021-24523-9
79,6.7,23.3,23.3,0,23.3,23.3,0,152,10.1557/s43577-022-00284-8
80,0,20,20,20,20,20,0,286,10.1016/j.actamat.2017.08.045
81,16.7,16.7,16.7,8.3,16.7,25,0,358,10.1016/j.intermet.2016.12.007
82,20,20,20,10,10,20,0,586,10.1016/j.intermet.2016.12.007
83,16.7,16.7,25,8.3,16.7,16.7,0,601,10.1016/j.intermet.2016.12.007
84,15.4,30.8,15.4,7.7,15.4,15.4,0,295,10.1016/j.intermet.2016.12.007
85,22.2,22.2,0,11.1,22.2,22.2,0,584,10.1016/j.intermet.2016.12.007
86,15.4,15.4,15.4,7.7,15.4,30.8,0,310,10.1016/j.intermet.2016.12.007
87,16.7,25,16.7,8.3,16.7,16.7,0,451,10.1016/j.intermet.2016.12.007
88,20,20,10,10,20,20,0,546,10.1016/j.intermet.2016.12.007
89,15.4,15.4,30.8,7.7,15.4,15.4,0,607,10.1016/j.intermet.2016.12.007
90,16.7,16.7,16.7,8.3,25,16.7,0,537,10.1016/j.intermet.2016.12.007
91,15.4,15.4,15.4,7.7,30.8,15.4,0,514,10.1016/j.intermet.2016.12.007
92,20,20,20,10,20,10,0,604,10.1016/j.intermet.2016.12.007
93,22.2,22.2,22.2,11.1,22.2,0,0,639,10.1016/j.intermet.2016.12.007
94,22.2,0,22.2,11.1,22.2,22.2,0,534,10.1016/j.intermet.2016.12.007
95,30.8,15.4,15.4,7.7,15.4,15.4,0,609,10.1016/j.intermet.2016.12.007
96,20,10,20,10,20,20,0,551,10.1016/j.intermet.2016.12.007
97,25,16.7,16.7,8.3,16.7,16.7,0,586,10.1016/j.intermet.2016.12.007
98,12.5,12.5,12.5,0,12.5,50,0,225,10.1016/j.actamat.2018.07.042
99,0,5,23.8,23.8,23.8,23.8,0,146,10.1016/j.actamat.2018.07.042
100,0,10,22.5,22.5,22.5,22.5,0,150,10.1016/j.actamat.2018.07.042
101,0,15,21.3,21.3,21.3,21.3,0,158,10.1016/j.actamat.2018.07.042
102,0,33.3,16.7,16.7,16.7,16.7,0,175,10.1016/j.actamat.2018.07.042
103,0,25,0,25,25,25,0,154,10.1016/j.actamat.2018.07.042
104,0,23.8,5,23.8,23.8,23.8,0,153,10.1016/j.actamat.2018.07.042
105,0,22.5,10,22.5,22.5,22.5,0,158,10.1016/j.actamat.2018.07.042
106,0,21.3,15,21.3,21.3,21.3,0,161,10.1016/j.actamat.2018.07.042
